POS,PLAYER
1,David Warner
2,KL Rahul
3,Quinton de Kock
4,Shikhar Dhawan
5,Andre Russell
6,Chris Gayle
7,Rishabh Pant
8,Virat Kohli
9,Shreyas Iyer
10,Jonny Bairstow
11,AB de Villiers
12,Suryakumar Yadav
13,MS Dhoni
14,Chris Lynn
15,Rohit Sharma
16,Hardik Pandya
17,Shane Watson
18,Faf du Plessis
19,Ajinkya Rahane
20,Suresh Raina
21,Parthiv Patel
22,Prithvi Shaw
23,Manish Pandey
24,Nitish Rana
25,Sanju Samson
26,Mayank Agarwal
27,Steve Smith
28,Jos Buttler
29,Shubman Gill
30,Ambati Rayudu
31,Robin Uthappa
32,Kieron Pollard
33,Dinesh Karthik
34,Vijay Shankar
35,Moeen Ali
36,David Miller
37,Marcus Stoinis
38,Colin Ingram
39,Krunal Pandya
40,Sarfaraz Khan
41,Nicholas Pooran
42,Mandeep Singh
43,Kedar Jadhav
44,Riyan Parag
45,Kane Williamson
46,Sunil Narine
47,Rahul Tripathi
48,Ben Stokes
49,Mohammad Nabi
50,Axar Patel
51,Ravindra Jadeja
52,Ishan Kishan
53,Yuvraj Singh
54,Gurkeerat Mann Singh
55,Sam Curran
56,Shimron Hetmyer
57,Wriddhiman Saha
58,Colin Munro
59,Martin Guptill
60,Dwayne Bravo
61,Sherfane Rutherford
62,Liam Livingstone
63,Stuart Binny
64,Jofra Archer
65,Deepak Hooda
66,Murali Vijay
67,Shreyas Gopal
68,Akshdeep Nath
69,Evin Lewis
70,Colin de Grandhomme
71,Piyush Chawla
72,Ravichandran Ashwin
73,Shivam Dube
74,Yusuf Pathan
75,Rinku Singh
76,Rashid Khan
77,Chris Morris
78,Mitchell Santner
79,Rahul Tewatia
80,Umesh Yadav
81,Amit Mishra
82,Harpreet Brar
83,Prayas Ray Barman
84,Keemo Paul
85,Ben Cutting
86,Krishnappa Gowtham
87,Simran Singh
88,Alzarri Joseph
89,Siddhesh Lad
90,Shardul Thakur
91,Kagiso Rabada
92,Bhuvneshwar Kumar
93,Kuldeep Yadav
94,Rahul Chahar
95,Mitchell McClenaghan
96,Carlos Brathwaite
97,Ishant Sharma
98,Shakib Al Hasan
99,Pawan Negi
100,Tim Southee
